Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared","Tatjana Bižić, Gordana Vučićević","=""0739467352""","=""9780739467350""",0,4.04,W.W. Norton & Company,Paperback,498,2005,1997,,2021/01/23,non-fiction,non-fiction (#12),non-fiction,,,,0,0
33561480,1984,George Orwell,"Orwell, George",,"=""""","=""9788192910901""",0,4.19,Amazing Reads,Paperback,310,2014,1949,,2021/01/27,fiction,fiction (#19),fiction,,,,0,0
9712,Love in the Time of Cholera,Gabriel García Márquez,"Márquez, Gabriel García","Edith Grossman, Kjell Risvik, Carlos Marrodán Casas","=""140003468X""","=""9781400034680""",0,3.93,Vintage International,Paperback,348,2003,1985,,2021/03/08,fiction,fiction (#18),fiction,,,,0,0
277388,"No Woman's Land: Women from Pakistan, India & Bangladesh Write on the Partition of India",Ritu Menon,"Menon, Ritu",,"=""8188965049""","=""9788188965045""",0,4.00,Women Unlimited,Hardcover,202,2004,2004,,2021/03/09,non-fiction,non-fiction (#11),non-fiction,,,,0,0
8682,Jitterbug Perfume,Tom Robbins,"Robbins, Tom",,"=""1842430351""","=""9781842430354""",0,4.22,No Exit Press,Paperback,342,2001,1984,,2021/03/11,fiction,fiction (#17),fiction,,,,0,0
12075,Tractatus Logico-Philosophicus,Ludwig Wittgenstein,"Wittgenstein, Ludwig","David Pears, Brian McGuinness, Bertrand Russell","=""0415254086""","=""9780415254083""",0,4.08,Routledge Classics,Paperback,142,2001,1921,,2021/03/09,academic,academic (#16),academic,,,,0,0
16884,The Making of the Atomic Bomb,Richard Rhodes,"Rhodes, Richard",,"=""0684813785""","=""9780684813783""",0,4.37,Simon & Schuster,Paperback,886,1995,1986,,2021/04/10,non-fiction,non-fiction (#10),non-fiction,,,,0,0
194746,No Longer Human,Osamu Dazai,"Dazai, Osamu",Donald Keene,"=""0811204812""","=""9780811204811""",0,4.07,New Directions,Paperback,176,1958,1948,,2021/10/26,fiction,fiction (#16),fiction,,,,0,0
157387,"The Vintner's Luck (Vintner's Luck, #1)",Elizabeth Knox,"Knox, Elizabeth",,"=""0312264100""","=""9780312264109""",0,3.88,Picador,Paperback,284,2000,1998,,2021/09/23,fiction,fiction (#15),fiction,,,,0,0
23444482,"The Traitor Baru Cormorant (The Masquerade, #1)",Seth Dickinson,"Dickinson, Seth",,"=""0765380722""","=""9780765380722""",0,4.06,Tor Books / Tom Doherty Associates ,Hardcover,399,2015,2015,,2021/09/23,fiction,fiction (#14),fiction,,,,0,0
25489292,Crowds and Party,Jodi Dean,"Dean, Jodi",,"=""1781686947""","=""9781781686942""",0,3.81,Verso,Hardcover,288,2016,2015,,2021/11/25,academic,academic (#15),academic,,,,0,0
36206591,Love and Other Words,Christina Lauren,"Lauren, Christina",,"=""1501190539""","=""9781501190537""",0,4.34,Gallery Books,Hardcover,432,2018,2018,,2022/01/08,fiction,fiction (#13),fiction,,,,0,0
765227,The Pleasure of the Text,Roland Barthes,"Barthes, Roland",Richard Miller,"=""0374521603""","=""9780374521608""",0,4.01,Hill and Wang,Paperback,67,1975,1973,,2021/12/21,non-fiction,non-fiction (#9),non-fiction,,,,0,0
61666,Contact,Carl Sagan,"Sagan, Carl",William Olivier Desmond,"=""2266079999""","=""9782266079990""",0,4.14,Pocket,Mass Market Paperback,580,1997,1986,,2021/12/06,fiction,fiction (#12),fiction,,,,0,0
41155465,It's Not About the Burqa,Mariam Khan,"Khan, Mariam",Yassmin Abdel-Magied,"=""1509886400""","=""9781509886401""",0,4.25,Picador,Hardcover,272,2020,2019,,2021/12/12,non-fiction,non-fiction (#8),non-fiction,,,,0,0
58191264,"Best Wishes, Warmest Regards: The Story of Schitt's Creek",Daniel  Levy,"Levy, Daniel","Eugene Levy, Catherine O'Hara, Annie  Murphy, Emily Hampshire, Jennifer  Robertson, Tim Rozon, Chris   Elliott, Dustin Milligan, Noah Reid, Sarah  Levy, John Hemphill, Karen Robinson, Rizwan Manji","=""0762499508""","=""""",0,4.73,Black Dog & Leventhal,Hardcover,368,2021,2021,,2021/12/13,fiction,fiction (#11),fiction,,,,0,0
58553765,Valmiki's Women,Anand Neelakantan,"Neelakantan, Anand",,"=""9390679869""","=""9789390679867""",0,4.02, Westland ,Paperback,234,2021,2021,,2022/02/05,fiction,fiction (#10),fiction,,,,0,0
58439624,The Patron Saint of Second Chances: A Novel,Christine Simon,"Simon, Christine",,"=""1982188790""","=""9781982188795""",0,3.65,Atria Books,ebook,303,2022,2022,,2022/02/05,fiction,fiction (#9),fiction,,,,0,0
13529055,Mortality,Christopher Hitchens,"Hitchens, Christopher",,"=""1455502758""","=""9781455502752""",0,4.11,Twelve,Hardcover,104,2012,2012,,2022/02/02,academic,academic (#14),academic,,,,0,0
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""150114331X""","=""9781501143311""",0,4.03,Simon & Schuster,Hardcover,335,2018,2018,,2022/02/05,non-fiction,non-fiction (#7),non-fiction,,,,0,0
56269004,"Silent Parade (Detective Galileo, #4)",Keigo Higashino,"Higashino, Keigo",Giles Murray,"=""1250624819""","=""9781250624819""",0,3.93,Minotaur Books,Hardcover,344,2021,2018,,2022/02/19,fiction,fiction (#8),fiction,,,,0,0
68783,"Girl, Interrupted",Susanna Kaysen,"Kaysen, Susanna",,"=""0679746048""","=""9780679746041""",0,3.92,Vintage ,Paperback,169,1994,1993,,2022/02/05,fiction,fiction (#7),fiction,,,,0,0
17837762,Uzumaki,Junji Ito,"Ito, Junji",Yuji Oniki,"=""1421561328""","=""9781421561325""",0,4.44,VIZ Media LLC,Hardcover,653,2013,2000,,2022/03/06,fiction,fiction (#6),fiction,,,,0,0
54860449,The 2000s Made Me Gay: Essays on Pop Culture,Grace Perry,"Perry, Grace",,"=""1250760143""","=""9781250760142""",0,3.94,St. Martin's Griffin,Paperback,256,2021,2021,,2022/03/10,non-fiction,non-fiction (#6),non-fiction,,,,0,0
395220,Zami: A New Spelling of My Name,Audre Lorde,"Lorde, Audre",,"=""0895941228""","=""9780895941220""",0,4.37,Crossing Press,Paperback,256,1982,1982,,2022/03/11,non-fiction,non-fiction (#5),non-fiction,,,,0,0
13591849,Democracy at Work: A Cure for Capitalism,Richard D. Wolff,"Wolff, Richard D.",,"=""1608462471""","=""9781608462476""",0,3.95,Haymarket Books,Paperback,220,2012,2012,,2022/02/19,academic,academic (#13),academic,,,,0,0
22711850,Introducing Foucault: A Graphic Guide (Introducing...),Chris Horrocks,"Horrocks, Chris",Zoran Jevtić,"=""""","=""""",0,3.28,Icon Books Ltd,Kindle Edition,175,2014,1997,,2022/02/28,academic,academic (#12),academic,,,,0,0
138139,Letters of John Keats,John Keats,"Keats, John",Robert Gittings,"=""0192810812""","=""9780192810816""",0,4.37,"Oxford University Press, USA",Paperback,448,1970,1954,,2022/03/02,non-fiction,non-fiction (#4),non-fiction,,,,0,0
6198,Boyhood: Scenes from Provincial Life,J.M. Coetzee,"Coetzee, J.M.",,"=""014026566X""","=""9780140265668""",0,3.78,Penguin Books,Paperback,166,1998,1997,,2022/03/30,fiction,fiction (#5),fiction,,,,0,0
110871,Thérèse Raquin,Émile Zola,"Zola, Émile","Ernest Alfred Vizetelly, Robin Buss","=""0140449442""","=""9780140449440""",0,3.73,Penguin Books,Paperback,201,2004,1867,,2022/04/04,fiction,fiction (#4),fiction,,,,0,0
